variant_id,group_index,local_index,global_variable_index,base_optimum,conflict_optimum,is_shared
S5_conflict_variant_synthetic,0,0,933,-93.288693355182133,-93.288693355182133,false
S5_conflict_variant_synthetic,0,1,943,-65.967316944448484,-65.967316944448484,false
S5_conflict_variant_synthetic,0,2,328,65.511159679658846,65.511159679658846,false
S5_conflict_variant_synthetic,0,3,126,-7.5187868435867529,-7.5187868435867529,false
S5_conflict_variant_synthetic,0,4,63,-70.40558017019606,-70.40558017019606,false
S5_conflict_variant_synthetic,0,5,707,-29.059511687503374,-29.059511687503374,false
S5_conflict_variant_synthetic,0,6,984,-51.056352123550617,-51.056352123550617,false
S5_conflict_variant_synthetic,0,7,699,-48.958014886213959,-48.958014886213959,false
S5_conflict_variant_synthetic,0,8,357,60.660892947523735,60.660892947523735,false
S5_conflict_variant_synthetic,0,9,448,-75.754375434435971,-75.754375434435971,false
S5_conflict_variant_synthetic,0,10,272,-43.157809405739343,-43.157809405739343,false
S5_conflict_variant_synthetic,0,11,350,13.036657873932114,13.036657873932114,false
S5_conflict_variant_synthetic,0,12,440,16.812289197681025,16.812289197681025,false
S5_conflict_variant_synthetic,0,13,453,-64.256920089303151,-64.256920089303151,false
S5_conflict_variant_synthetic,0,14,206,-63.038266790910868,-63.038266790910868,false
S5_conflict_variant_synthetic,0,15,83,17.649132867908364,17.649132867908364,false
S5_conflict_variant_synthetic,0,16,152,91.188633767451876,91.188633767451876,false
S5_conflict_variant_synthetic,0,17,58,-24.336839060734277,-24.336839060734277,false
S5_conflict_variant_synthetic,0,18,486,33.538761368204717,33.538761368204717,false
S5_conflict_variant_synthetic,0,19,277,-75.250903589131184,-75.250903589131184,false
S5_conflict_variant_synthetic,0,20,682,98.178510935164269,98.178510935164269,false
S5_conflict_variant_synthetic,0,21,983,58.973159831657568,58.973159831657568,false
S5_conflict_variant_synthetic,0,22,432,4.9105825675615193,4.9105825675615193,false
S5_conflict_variant_synthetic,0,23,917,50.536984748174461,50.536984748174461,false
S5_conflict_variant_synthetic,0,24,519,94.37787494999111,94.37787494999111,false
S5_conflict_variant_synthetic,0,25,396,83.6156737348484,83.6156737348484,false
S5_conflict_variant_synthetic,0,26,221,-39.334424956984357,-39.334424956984357,false
S5_conflict_variant_synthetic,0,27,907,9.4758438246612684,9.4758438246612684,false
S5_conflict_variant_synthetic,0,28,470,87.256000666151238,87.256000666151238,false
S5_conflict_variant_synthetic,0,29,282,90.009032414787384,90.009032414787384,false
S5_conflict_variant_synthetic,0,30,509,19.120237227517677,19.120237227517677,false
S5_conflict_variant_synthetic,0,31,222,-61.055338074162478,-61.055338074162478,false
S5_conflict_variant_synthetic,0,32,973,-53.781282578742548,-53.781282578742548,false
S5_conflict_variant_synthetic,0,33,903,-16.729330195268815,-16.729330195268815,false
S5_conflict_variant_synthetic,0,34,547,-4.9843067775382508,-4.9843067775382508,false
S5_conflict_variant_synthetic,0,35,234,49.462015154651169,49.462015154651169,false
S5_conflict_variant_synthetic,0,36,423,46.303527945744577,46.303527945744577,false
S5_conflict_variant_synthetic,0,37,832,-48.25304318331618,-48.25304318331618,false
S5_conflict_variant_synthetic,0,38,49,62.579983128083967,62.579983128083967,false
S5_conflict_variant_synthetic,0,39,176,42.889393688547557,42.889393688547557,false
S5_conflict_variant_synthetic,0,40,654,53.355096798956481,53.355096798956481,false
S5_conflict_variant_synthetic,0,41,51,11.111224272024089,11.111224272024089,false
S5_conflict_variant_synthetic,0,42,884,99.445167773596211,99.445167773596211,false
S5_conflict_variant_synthetic,0,43,458,19.71675350119915,7.7450781510792339,true
S5_conflict_variant_synthetic,0,44,539,-77.491101362102668,-79.741991225892406,true
S5_conflict_variant_synthetic,0,45,54,-19.514655415662503,-27.563189874096253,true
S5_conflict_variant_synthetic,0,46,304,-10.335281397019983,-19.301753257317984,true
S5_conflict_variant_synthetic,0,47,146,45.026692788711898,30.52402350984071,true
S5_conflict_variant_synthetic,0,48,824,98.584933000518845,78.726439700466955,true
S5_conflict_variant_synthetic,0,49,340,-59.389706301960963,-63.450735671764868,true
S5_conflict_variant_synthetic,1,0,458,19.71675350119915,27.745078151079234,true
S5_conflict_variant_synthetic,1,1,539,-77.491101362102668,-59.741991225892406,true
S5_conflict_variant_synthetic,1,2,54,-19.514655415662503,-7.5631898740962527,true
S5_conflict_variant_synthetic,1,3,304,-10.335281397019983,0.69824674268201647,true
S5_conflict_variant_synthetic,1,4,146,45.026692788711898,50.52402350984071,true
S5_conflict_variant_synthetic,1,5,824,98.584933000518845,98.726439700466955,true
S5_conflict_variant_synthetic,1,6,340,-59.389706301960963,-43.450735671764868,true
S5_conflict_variant_synthetic,1,7,742,-53.609442198139433,-53.609442198139433,false
S5_conflict_variant_synthetic,1,8,99,0.90447099006290443,0.90447099006290443,false
S5_conflict_variant_synthetic,1,9,801,30.998555700979864,30.998555700979864,false
S5_conflict_variant_synthetic,1,10,421,45.344749421471477,45.344749421471477,false
S5_conflict_variant_synthetic,1,11,995,-88.225269779272054,-88.225269779272054,false
S5_conflict_variant_synthetic,1,12,789,-18.043506375561563,-18.043506375561563,false
S5_conflict_variant_synthetic,1,13,853,-14.848529108501921,-14.848529108501921,false
S5_conflict_variant_synthetic,1,14,408,6.4797091636017399,6.4797091636017399,false
S5_conflict_variant_synthetic,1,15,897,-64.819355036302056,-64.819355036302056,false
S5_conflict_variant_synthetic,1,16,418,-6.4865931408186128,-6.4865931408186128,false
S5_conflict_variant_synthetic,1,17,284,80.73948826113778,80.73948826113778,false
S5_conflict_variant_synthetic,1,18,959,33.434802808713101,33.434802808713101,false
S5_conflict_variant_synthetic,1,19,239,-99.961971396512112,-99.961971396512112,false
S5_conflict_variant_synthetic,1,20,655,-72.020778498042432,-72.020778498042432,false
S5_conflict_variant_synthetic,1,21,619,76.326189327112019,76.326189327112019,false
S5_conflict_variant_synthetic,1,22,466,41.232025527147044,41.232025527147044,false
S5_conflict_variant_synthetic,1,23,745,-55.178592394522788,-55.178592394522788,false
S5_conflict_variant_synthetic,1,24,879,-65.522011967424078,-65.522011967424078,false
S5_conflict_variant_synthetic,1,25,293,9.5563762911553312,9.5563762911553312,false
S5_conflict_variant_synthetic,1,26,873,-63.051655667740334,-63.051655667740334,false
S5_conflict_variant_synthetic,1,27,477,40.265980924320814,40.265980924320814,false
S5_conflict_variant_synthetic,1,28,102,-57.287064676286789,-57.287064676286789,false
S5_conflict_variant_synthetic,1,29,182,-13.782902106637039,-13.782902106637039,false
S5_conflict_variant_synthetic,1,30,417,-32.583572245298171,-32.583572245298171,false
S5_conflict_variant_synthetic,1,31,841,71.000158237371295,71.000158237371295,false
S5_conflict_variant_synthetic,1,32,559,-70.838628754107276,-70.838628754107276,false
S5_conflict_variant_synthetic,1,33,135,63.994172028976465,63.994172028976465,false
S5_conflict_variant_synthetic,1,34,701,39.723406670948577,39.723406670948577,false
S5_conflict_variant_synthetic,1,35,928,-55.633890227644599,-55.633890227644599,false
S5_conflict_variant_synthetic,1,36,395,55.520115408636457,55.520115408636457,false
S5_conflict_variant_synthetic,1,37,361,-27.409427996621687,-27.409427996621687,false
S5_conflict_variant_synthetic,1,38,33,-65.209187070583738,-65.209187070583738,false
S5_conflict_variant_synthetic,1,39,759,-82.570877171510745,-82.570877171510745,false
S5_conflict_variant_synthetic,1,40,703,85.943393942483567,85.943393942483567,false
S5_conflict_variant_synthetic,1,41,735,-11.511656827038081,-11.511656827038081,false
S5_conflict_variant_synthetic,1,42,712,79.955854824178545,79.955854824178545,false
S5_conflict_variant_synthetic,1,43,616,32.620841925777512,32.620841925777512,false
S5_conflict_variant_synthetic,1,44,119,-88.121890806048782,-88.121890806048782,false
S5_conflict_variant_synthetic,1,45,483,-45.752429787293146,-45.752429787293146,false
S5_conflict_variant_synthetic,1,46,377,57.130615407837439,57.130615407837439,false
S5_conflict_variant_synthetic,1,47,662,21.542757977546017,21.542757977546017,false
S5_conflict_variant_synthetic,1,48,540,55.491028653007106,55.491028653007106,false
S5_conflict_variant_synthetic,1,49,628,98.462850906889429,98.462850906889429,false
S5_conflict_variant_synthetic,1,50,86,2.6923475219685855,-7.576887230228273,true
S5_conflict_variant_synthetic,1,51,347,40.817319775428189,26.735587797885369,true
S5_conflict_variant_synthetic,1,52,386,-35.619376779141703,-42.05743910122753,true
S5_conflict_variant_synthetic,1,53,847,35.589545396746217,22.030590857071594,true
S5_conflict_variant_synthetic,1,54,378,-68.78386820214746,-71.905481381932717,true
S5_conflict_variant_synthetic,1,55,242,16.658478349932835,4.9926305149395507,true
S5_conflict_variant_synthetic,1,56,10,90.909098064096014,71.818188257686415,true
S5_conflict_variant_synthetic,2,0,86,2.6923475219685855,12.423112769771727,true
S5_conflict_variant_synthetic,2,1,347,40.817319775428189,46.735587797885373,true
S5_conflict_variant_synthetic,2,2,386,-35.619376779141703,-22.05743910122753,true
S5_conflict_variant_synthetic,2,3,847,35.589545396746217,42.030590857071594,true
S5_conflict_variant_synthetic,2,4,378,-68.78386820214746,-51.905481381932717,true
S5_conflict_variant_synthetic,2,5,242,16.658478349932835,24.992630514939552,true
S5_conflict_variant_synthetic,2,6,10,90.909098064096014,91.818188257686415,true
S5_conflict_variant_synthetic,2,7,808,-94.605277282104666,-94.605277282104666,false
S5_conflict_variant_synthetic,2,8,542,16.712205239215749,16.712205239215749,false
S5_conflict_variant_synthetic,2,9,599,-54.592470510613687,-54.592470510613687,false
S5_conflict_variant_synthetic,2,10,627,97.907802269430135,97.907802269430135,false
S5_conflict_variant_synthetic,2,11,297,-85.244530633193335,-85.244530633193335,false
S5_conflict_variant_synthetic,2,12,560,44.243646582447241,44.243646582447241,false
S5_conflict_variant_synthetic,2,13,416,-51.688433745559628,-51.688433745559628,false
S5_conflict_variant_synthetic,2,14,141,-76.924056641579554,-76.924056641579554,false
S5_conflict_variant_synthetic,2,15,520,-97.828067828954346,-97.828067828954346,false
S5_conflict_variant_synthetic,2,16,887,-31.457745704031012,-31.457745704031012,false
S5_conflict_variant_synthetic,2,17,18,34.839265654123267,34.839265654123267,false
S5_conflict_variant_synthetic,2,18,741,-75.549541822699794,-75.549541822699794,false
S5_conflict_variant_synthetic,2,19,915,21.695730346832988,21.695730346832988,false
S5_conflict_variant_synthetic,2,20,57,-52.724667449269006,-52.724667449269006,false
S5_conflict_variant_synthetic,2,21,208,6.3466811247898676,6.3466811247898676,false
S5_conflict_variant_synthetic,2,22,575,-41.533787780772478,-41.533787780772478,false
